"Task Name","Description","Status","Priority","Start Date","Due Date","Tags","Workstream","Owner Agent","System Area","MVP Phase","Dependency IDs","Obsidian Note","Acceptance Criteria","Verification","External Action Risk"
"FOS-MVP-001 Create canonical MVP delivery plan","Project plan names MVP, beta, beyond, UI/UX, and agent-first priorities.","done","urgent","2026-05-07","2026-05-07","mvp,planning","Delivery Control Plane","maxine","planning","Phase 0","","planning/00-flavoros-mvp-delivery-system/FLAVOROS_MVP_PROJECT_PLAN.md","Plan includes MVP, beta, beyond, UI/UX, and agent priorities.","Document exists in planning folder.","false"
"FOS-MVP-002 Create agent-readable YAML task map","Task map with phases, workstreams, owners, dependencies, acceptance criteria, and verification.","done","urgent","2026-05-07","2026-05-07","mvp,planning,yaml","Delivery Control Plane","maxine","planning","Phase 0","FOS-MVP-001","planning/00-flavoros-mvp-delivery-system/task_map.yaml","YAML includes tasks, dependencies, owners, and verification.","YAML parses successfully.","false"
"FOS-MVP-003 Create ClickUp import projection","CSV projection for ClickUp custom-field mapping.","done","high","2026-05-07","2026-05-07","clickup,planning","Delivery Control Plane","maxine","planning","Phase 0","FOS-MVP-002","planning/00-flavoros-mvp-delivery-system/clickup_import.csv","CSV can be imported or mapped into ClickUp.","CSV file exists with header and core tasks.","false"
"FOS-MVP-004 Create Obsidian dashboard and Kanban views","Dataview-ready dashboard plus Kanban board for MVP execution.","done","high","2026-05-07","2026-05-07","obsidian,planning","Delivery Control Plane","maxine","obsidian","Phase 0","FOS-MVP-002","planning/00-flavoros-mvp-delivery-system/OBSIDIAN_DASHBOARD.md","Dashboard and Kanban board exist.","Markdown views exist in planning folder.","false"
"FOS-MVP-005 Stand up temporary VPS dev-agent report paths","Make Agent 1, Agent 2, and Agent 3 useful with bounded report outputs.","in progress","urgent","2026-05-07","2026-05-08","agents,vps","Agent Runtime","scooter","vps-agents","Phase 1","FOS-MVP-002","docs/dev_context/runtime/","Runtime report directory exists in repo and is ready to mirror on VPS.","No-secret report files appear under docs/dev_context/runtime/.","false"
"FOS-MVP-006 Normalize work order payload shape","Align runtime docs and code on standard work orders while keeping current compatibility.","ready","urgent","2026-05-07","2026-05-08","agents,nats","Agent Runtime","khadijah","agent-runtime","Phase 1","FOS-MVP-005","docs/dev_context/AGENT_OPS_INTEGRATION.md","Work orders include IDs, source, target, deliverable, vault path, priority, and approval flag.","Synthetic work order produces a report without schema loss.","false"
"FOS-MVP-007 Normalize specialist report shape","Specialists return status, summary, vault file, user-facing response, and approval flag.","ready","urgent","2026-05-08","2026-05-08","agents,nats","Agent Runtime","khadijah","agent-runtime","Phase 1","FOS-MVP-006","docs/dev_context/AGENT_OPS_INTEGRATION.md","Reports include structured fields needed by human-facing agents.","Synthetic report is accepted by a human-facing path.","false"
"FOS-MVP-008 Create durable artifact writer","Runtime can create readiness artifacts from work orders or live deferrals.","backlog","urgent","2026-05-08","2026-05-09","vault,agents","Agent Runtime","maxine","vault","Phase 1","FOS-MVP-007","vault/15-Readiness/","Readiness artifact is created and path returned in report.","Fake request creates markdown in vault/15-Readiness.","false"
"FOS-MVP-009 Connect voice gateway to Hermes-aware response path","Voice path chooses Sinclair or Khadijah and can defer work.","ready","urgent","2026-05-08","2026-05-09","voice,hermes","Voice Demo","sinclair","voice-gateway","Phase 2","FOS-MVP-006","infra/voice-gateway/app/","Voice response path is no longer only static policy.","Phone or synthetic WebSocket test returns non-static response.","false"
"FOS-MVP-010 Add live voice deferred work artifact creation","Unknown voice requests create readiness artifact and spoken deferral.","backlog","urgent","2026-05-09","2026-05-09","voice,vault","Voice Demo","sinclair","voice-gateway","Phase 2","FOS-MVP-008;FOS-MVP-009","vault/15-Readiness/","Unknown requests create readiness artifact and concise deferral.","Fake transcript creates file and spoken response.","false"
"FOS-MVP-011 Test interruption and barge-in behavior","Document clear/mark behavior and capture at least one interruption test.","backlog","high","2026-05-09","2026-05-10","voice,testing","Voice Demo","scooter","voice-gateway","Phase 2","FOS-MVP-009","docs/dev_context/runtime/agent3-endpoint-tests.md","Interruption behavior is documented and tested.","Endpoint report records pass/fail and fix notes.","false"
"FOS-MVP-012 Create Khadijah and Sinclair demo briefing script","Demo script with briefing, impromptu support, and specialist handoff.","backlog","high","2026-05-09","2026-05-10","demo,voice","Voice Demo","khadijah","demo","Phase 2","FOS-MVP-009","vault/10-Briefs/","Script includes briefing, Sinclair support, and deferred handoff.","Demo script artifact exists.","false"
"FOS-MVP-013 Connect Marcus test email read path","Read test email safely without enabling external sends.","backlog","urgent","2026-05-09","2026-05-10","gmail,email","Email Calendar Loop","sinclair","gmail","Phase 3","FOS-MVP-006","docs/dev_context/runtime/","Email read path works with no secret exposure.","No-value connector health report exists.","false"
"FOS-MVP-014 Connect Marcus test calendar read/proposal path","Calendar availability or mock proposal path remains approval-gated.","backlog","urgent","2026-05-09","2026-05-10","calendar","Email Calendar Loop","sinclair","calendar","Phase 3","FOS-MVP-006","vault/20-Meetings/","Calendar proposals remain artifacts until approved.","Calendar artifact generated from fake or test event.","true"
"FOS-MVP-015 Build email-to-artifacts demo flow","Inbound email generates SIGMA, draft reply, calendar artifact, PM artifact, and follow-up update.","backlog","urgent","2026-05-10","2026-05-11","email,calendar,artifacts","Email Calendar Loop","sinclair","email-calendar-demo","Phase 3","FOS-MVP-008;FOS-MVP-013;FOS-MVP-014","vault/05-SIGMA/","All five MVP artifacts are produced without external sends.","All five artifacts exist in vault paths.","true"
"FOS-MVP-016 Define MVP operator console IA","Operator console shows agent status, work orders, reports, approvals, and demo state.","ready","urgent","2026-05-08","2026-05-09","ui,ux","UI UX Operator Console","khadijah","ui-ux","Phase 4","FOS-MVP-001","planning/00-flavoros-mvp-delivery-system/","Console IA is understandable to a non-technical operator.","UI/UX spec artifact exists.","false"
"FOS-MVP-017 Choose Cloudflare dashboard path","Decide Pages vs Workers and sanitized data source for free-tier dashboard.","backlog","high","2026-05-09","2026-05-10","cloudflare,ui","UI UX Operator Console","scooter","cloudflare","Phase 4","FOS-MVP-016","docs/dev/DECISIONS.md","Cloudflare path avoids exposing secrets and moving core runtime.","Decision log entry and deployment note exist.","false"
"FOS-MVP-018 Build first read-only operator console","Dashboard renders project status, agent status, reports, and approvals.","backlog","high","2026-05-10","2026-05-13","ui,cloudflare","UI UX Operator Console","maxine","ui-ux","Phase 4","FOS-MVP-016;FOS-MVP-017","future-ui/","Console can deploy without moving core runtime.","Local or Cloudflare preview accessible.","false"
"FOS-MVP-019 Create MVP release checklist","Checklist covers compose, secrets, voice, artifacts, rollback, and demo script.","backlog","urgent","2026-05-10","2026-05-11","deployment,release","Deployment Operations","scooter","deployment","Phase 5","FOS-MVP-009;FOS-MVP-015","docs/runbooks/","Release checklist is dry-run reviewed.","Checklist exists and is reviewed.","false"
"FOS-MVP-020 Prepare Christy beta onboarding plan","Consent, OAuth, preferences, HITL rules, and first workflows are separated.","backlog","normal","2026-05-12","2026-05-17","beta,onboarding","Beta and Beyond","khadijah","beta","Phase 6","FOS-MVP-015;FOS-MVP-019","clients/christy/","Beta plan separates consent, OAuth, preferences, HITL, and first workflows.","Beta onboarding PRD or readiness artifact exists.","true"
